"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-10-07",203775,929,21112,6591,2138,33565,409238,54791625,383247,2410,1650,7485102,51216,56,119691687,1034871
"2020-10-06",202846,613,20973,6490,-752,32726,407100,54408378,334396,2388,1609,7433886,38846,56,118656816,928667
"2020-10-05",202233,331,20812,6292,1447,31426,407852,54073982,497796,2370,1514,7395040,37752,56,117728149,986123
"2020-10-04",201902,380,20729,6056,663,30063,406405,53576186,420158,2362,1485,7357288,38165,56,116742026,1003960
"2020-10-03",201522,738,20686,6073,1088,30209,405742,53156028,354909,2358,1501,7319123,50874,56,115738066,1065902
"2020-10-02",200784,842,20612,6195,1443,30880,404654,52801119,569771,2348,1534,7268249,49427,56,114672164,1230486
"2020-10-01",199942,862,20492,6262,1757,30942,403211,52231348,391166,2334,1543,7218822,45720,56,113441678,987564
"2020-09-30",199080,1064,20390,6241,1618,31021,401454,51840182,378871,2319,1510,7173102,44909,56,112454114,946818
"2020-09-29",198016,724,20247,6172,1673,30601,399836,51461311,325008,2298,1497,7128193,36766,56,111507296,962114
"2020-09-28",197292,246,20121,6048,1181,29696,398163,51136303,454121,2285,1513,7091427,35376,56,110545182,1026023
"2020-09-27",197046,310,20050,6170,613,29579,396982,50682182,340575,2277,1511,7056051,34990,56,109519159,914935
"2020-09-26",196736,873,20002,6143,1225,29670,396369,50341607,459833,2272,1509,7021061,47268,56,108604224,1102793
"2020-09-25",195863,847,19919,6220,1322,29888,395144,49881774,480492,2264,1508,6973793,55237,56,107501431,1121412
"2020-09-24",195016,938,19555,6274,1484,30159,393822,49401282,435595,2177,1560,6918556,43341,56,106380019,990112
"2020-09-23",194078,1156,19452,6200,1454,30015,392338,48965687,370859,2154,1545,6875215,39498,56,105389907,993898
"2020-09-22",192922,859,19324,6188,1534,29645,390884,48594828,358273,2130,1558,6835717,48986,56,104396009,877016
"2020-09-21",192063,281,19353,6138,1064,28849,389350,48236555,320880,2116,1570,6786731,39162,56,103518993,763547
"2020-09-20",191782,327,19281,6100,525,28724,388286,47915675,397752,2112,1595,6747569,35533,56,102755446,976426
"2020-09-19",191455,747,19243,6163,1051,29185,387761,47517923,448470,2111,1577,6712036,45668,56,101779020,1118430
"2020-09-18",190708,901,19163,6175,1423,29651,386710,47069453,478884,2107,1608,6666368,46889,56,100660590,1065110
"2020-09-17",189807,880,19057,6285,1549,30035,385287,46590569,420589,2092,1662,6619479,43642,56,99595480,966831
"2020-09-16",188927,1190,18961,6303,1461,30345,383738,46169980,338879,2090,1647,6575837,40319,56,98628649,823093
"2020-09-15",187737,1034,18847,6308,1484,30427,382277,45831101,341843,2071,1574,6535518,34778,56,97805556,824461
"2020-09-14",186703,407,18748,6249,912,30071,380793,45489258,400935,2061,1513,6500740,33572,56,96981095,854784
"2020-09-13",186296,392,18692,6233,545,29921,379881,45088323,334958,2056,1562,6467168,34579,56,96126311,765277
"2020-09-12",185904,817,18648,6451,1145,30758,379336,44753365,382218,2051,1619,6432589,41850,56,95361034,968327
"2020-09-11",185087,1015,18549,6376,1510,31530,378191,44371147,432643,2031,1716,6390739,44698,56,94392707,918362
"2020-09-10",184072,1161,18453,6522,1498,32521,376681,43938504,360631,2008,1923,6346041,37409,56,93474345,802844
"2020-09-09",182911,1088,18322,6659,1970,32653,375183,43577873,315323,1994,1906,6308632,30733,56,92671501,727648
"2020-09-08",181823,347,18189,6543,934,32339,373213,43262550,243774,1975,1881,6277899,22310,56,91943853,574647
"2020-09-07",181476,227,18156,6630,474,32116,372279,43018776,304950,1967,1879,6255589,28117,56,91369206,647369
"2020-09-06",181249,452,18125,6700,499,32497,371805,42713826,315811,1960,1912,6227472,33033,56,90721837,749914
"2020-09-05",180797,926,18089,6766,1173,33626,371306,42398015,379522,1956,1956,6194439,44860,56,89971923,953010
"2020-09-04",179871,999,18012,6922,1249,34177,370133,42018493,522071,1943,1998,6149579,51600,56,89018913,1077230
"2020-09-03",178872,1072,17894,6923,1488,34753,368884,41496422,386962,1928,2038,6097979,44643,56,87941683,895207
"2020-09-02",177800,1035,17784,7091,1521,35660,367396,41109460,331571,1918,2027,6053336,30655,56,87046476,783781
"2020-09-01",176765,1014,17655,7084,1867,35338,365875,40777889,311048,1902,2041,6022681,42242,56,86262695,803690
"2020-08-31",175751,380,17537,7047,710,35453,364008,40466841,328080,1877,2075,5980439,31720,56,85459005,697463
"2020-08-30",175371,477,17439,7268,662,35801,363298,40138761,371775,1870,2055,5948719,38766,56,84761542,832075
"2020-08-29",174894,1017,17401,7413,1299,36516,362636,39766986,374871,1864,2062,5909953,43995,56,83929467,885261
"2020-08-28",173877,1020,17304,7564,1642,37356,361337,39392115,391050,1856,2087,5865958,46115,56,83044206,913141
"2020-08-27",172857,1128,17181,7712,1654,37498,359695,39001065,401494,1831,2128,5819843,44111,56,82131065,845288
"2020-08-26",171729,1300,17046,7742,1804,38515,358041,38599571,380722,1809,2143,5775732,44331,56,81285777,762106
"2020-08-25",170429,1140,16920,7854,1988,38831,356237,38218849,334536,1789,2161,5731401,36839,56,80523671,717384
"2020-08-24",169289,341,16787,7854,1031,38806,354249,37884313,383861,1764,2112,5694562,34543,56,79806287,743065
"2020-08-23",168948,577,16697,7949,698,39064,353218,37500452,331115,1737,2131,5660019,37900,56,79063222,709584
"2020-08-22",168371,1035,16657,8207,1603,40017,352520,37169337,380196,1736,2204,5622119,46054,56,78353638,879814
"2020-08-21",167336,1119,16563,8358,1783,41049,350917,36789141,382686,1730,2288,5576065,46456,56,77473824,895658
"2020-08-20",166217,1129,16487,8486,1983,42109,349134,36406455,363326,1716,2330,5529609,43844,56,76578166,847473
"2020-08-19",165088,1411,16377,8747,1983,43406,347151,36043129,404229,1705,2375,5485765,45073,56,75730693,830992
"2020-08-18",163677,1179,16123,8859,2261,43840,345168,35638900,320406,1695,2467,5440692,40070,56,74899701,756002
"2020-08-17",162498,411,15985,8881,1224,43614,342907,35318494,325994,1678,2444,5400622,37751,56,74143699,719508
"2020-08-16",162087,617,15924,8958,685,44155,341683,34992500,382038,1665,2481,5362871,42503,56,73424191,765714
"2020-08-15",161470,1227,15891,9087,1891,44922,340998,34610462,376986,1663,2526,5320368,56046,56,72658477,870435
"2020-08-14",160243,1226,15764,9277,2141,45868,339107,34233476,470373,1665,2555,5264322,57101,56,71788042,970482
"2020-08-13",159017,1163,15629,9480,2675,47303,336966,33763103,414136,1649,2574,5207221,51763,56,70817560,931688
"2020-08-12",157854,1517,15524,9564,2971,48067,334291,33348967,157742,1629,2602,5155458,56186,56,69885872,585814
"2020-08-11",156337,1320,15331,9135,2624,48600,331320,33191225,341151,1612,2422,5099272,54935,56,69300058,828223
